ID-Nr       	fat/lean70
7984-1893	0.0967851675
7984-1894	0.2122448980
7984-1895	0.3401194354
7984-1896	0.1475764961
7984-1897	0.1793621775
7984-1898	0.1313983134
7984-1899	0.1145610278
7984-1900	0.1488730724
7984-1901	0.2089463221
7984-1902	0.1840222576
7984-1903	0.1842664777
7984-1904	0.2233723781
7984-1905	0.3019983113
7984-1906	0.1276056338
7984-1907	0.0706265846
7984-1908	0.0887842000
7984-1909	0.0975460123
7984-1910	0.1263957124
7984-1911	0.0897373541
7984-1912	0.1356205388
7984-1913	0.1250969243
7984-1914	0.1145057129
7984-1915	0.1002838221
7984-1916	0.0382241688
7984-1917	0.0393303752
7984-1918	0.0598337950
7984-1919	0.0399372166
7984-1920	0.3809037529
7984-1921	0.1043147208
7984-1922	0.1101106252
7984-1923	0.1412808827
7984-1924	0.1040407855
7984-1925	0.0807248764
7984-1926	0.1032786885
7984-1927	0.0797902229
7984-1928	0.1326625675
7984-1929	0.1284891449
7984-1930	0.0689974531
7984-1931	0.1281871345
7984-1932	0.1356828194
7984-1933	0.0858339149
7984-1934	0.0965241898
7984-1935	0.0914147521
7984-1936	0.1056244042
7984-1937	0.0596770897
7984-1938	0.0812741313
7984-1939	0.0566072079
7984-1940	0.0718942075
7984-1941	0.1543010753
7984-1942	0.1526528777
7984-1943	0.1271906532
7984-1944	0.1463414634
7984-1945	0.1456030754
7984-1946	0.1257381890
7984-1947	0.0516493874
7984-1948	0.1510804769
7984-1949	0.0696280628
7984-1950	0.1165467626
7984-1951	0.0725790010
7984-1952	0.1000560015
7984-1953	0.0479802434
7984-1954	0.1208206687
7984-1955	0.1150121065
7984-1956	0.0746919918
7984-1957	0.2920403587
7984-1958	0.1357730619
7984-1959	0.1968019680
7984-1960	0.0841893253
7984-1961	0.2034839204
7984-1962	0.1994688699
7984-1963	0.1279653285
7984-1964	0.1695745932
7984-1965	0.0797176309
7984-1966	0.1199596774
7984-1967	0.0802242074
7984-1968	0.0660003771
7984-1969	0.1667701221
7984-1970	0.1395489327
7984-1971	0.0532433446
7984-1972	0.0828687278
7984-1973	0.060199373
7984-1974	0.061627493
7984-1975	0.070701589
7984-1976	0.048523869
7984-1977	0.052967871
7984-1978	0.139604848
7984-1979	0.100038053
7984-1980	0.091565774
7984-1981	0.072874502
7984-1982	0.053233861
7984-1983	0.089689459
7984-1984	0.155816454
7984-1985	0.140150407
7984-1986	0.125538185
7984-1987	0.157016372
7984-1988	0.08749973
7984-1989	0.096126901
7984-1990	0.137373778
7984-1991	0.058679748
7984-1992	0.322145586
7984-1993	0.053504256
7984-1994	0.139956582
7984-1995	0.115502297
7984-1996	0.101173924
7984-1997	0.169077114
7984-1998	0.094344462
7984-1999	0.15650363
7984-2000	0.110985182
7984-2001	0.242390977
7984-2002	0.140401224
7984-2003	0.079884756
7984-2004	0.123067556
7984-2005	0.051823272
7984-2006	0.036100762
7984-2007	0.026903904
7984-2008	0.350171414
7984-2009	0.054311826
7984-2010	0.502628863
7984-2011	0.033201285
7984-2013	0.049564284
7984-2014	0.114934386
7984-2015	0.113398919
7984-2016	0.15402439
7984-2017	0.128405374
