ID-Nr	fat/lean70
8015-1579	0.0707465278
8015-1580	0.0875826251
8015-1581	0.1465517241
8015-1582	0.1342882722
8015-1583	0.1388499299
8015-1584	0.1346662746
8015-1585	0.1132075472
8015-1586	0.0725860155
8015-1587	0.1127676877
8015-1588	0.0720942982
8015-1589	0.0278937381
8015-1590	0.0353148911
8015-1591	0.0344493904
8015-1592	0.0416182733
8015-1593	0.0385810934
8015-1594	0.0806253832
8015-1595	0.0657527291
8015-1596	0.0800000000
8015-1597	0.0852956567
8015-1598	0.0263711064
8015-1599	0.0452711002
8015-1600	0.0371287129
8015-1601	0.0549026809
8015-1602	0.1141433831
8015-1603	0.0539516420
8015-1604	0.1838043696
8015-1605	0.0494117647
8015-1606	0.1016369411
8015-1607	0.1194396658
8015-1608	0.2475851551
8015-1609	0.0619109222
8015-1610	0.0601756681
8015-1611	0.0481392335
8015-1612	0.0932667143
8015-1613	0.0802936997
8015-1614	0.064634238
8015-1615	0.061037762
8015-1616	0.048952023
8015-1617	0.049964843
8015-1618	0.116918208
8015-1619	0.068334783
8015-1620	0.055435077
8015-1621	0.123284229
8015-1622	0.094001594
8015-1623	0.08747591
8015-1624	0.131950509
8015-1625	0.066532053
8015-1626	0.180412154
8015-1627	0.100926829
8015-1628	0.080595581
8015-1629	0.097966812
8015-1630	0.084183109
8015-1631	0.054721781
8015-1632	0.186115867
8015-1633	0.167487979
8015-1634	0.114646611
8015-1635	0.123098472
8015-1636	0.412490694
8015-1637	0.49248721
8015-1638	0.482911195
8015-1639	0.445694211
8015-1640	0.060090078
8015-1641	0.099312298
8015-1642	0.054733219
8015-1643	0.088185231
8015-1644	0.140432858
8015-1645	0.164123145
8015-1646	0.100564512
8015-1647	0.111601417
8015-1648	0.083898886
8015-1649	0.066149658
8015-1650	0.108521693
8015-1651	0.061271549
8015-1652	0.046105079
8015-1653	0.085242992
8015-1654	0.141405274
8015-1655	0.140459526
8015-1656	0.134961275
8015-1657	0.051148784
8015-1658	0.049680681
8015-1659	0.164519535
8015-1660	0.073829464
8015-1661	0.122813429
8015-1662	0.112651732
8015-1663	0.087610408
8015-1664	0.085411794
8015-1665	0.120291389
8015-1666	0.082708965
8015-1667	0.082372856
8015-1668	0.343750396
8015-1669	0.159900577
8015-1670	0.085570192
8015-1671	0.057359854
8015-1672	0.132854199
8015-1673	0.19873026
8015-1674	0.17209393
8015-1675	0.026773618
8015-1676	0.125639787
8015-1677	0.075306299
8015-1678	0.064015282
8015-1679	0.11816796
8015-1680	0.025300557
8015-1681	0.039439467
8015-1682	0.131604737
8015-1683	0.108279935
8015-1684	0.096060094
