animals,fatlean
A,0.0829542414
A,0.0716816571
A,0.2377138697
A,0.0822966507
A,0.1032888889
A,0.1063259839
A,0.1225407532
A,0.0873060385
A,0.1427537979
A,0.1199052133
A,0.1085675431
A,0.1557218735
A,0.144909888
A,0.1015655577
A,0.3522984175
A,0.1044655486
A,0.1118580766
A,0.1490205802
A,0.1672131148
A,0.1828447862
A,0.0974472263
A,0.0820568928
A,0.0669463699
A,0.0631804391
A,0.0413164014
A,0.1512369294
A,0.1337941249
A,0.1172733936
A,0.0837185413
A,0.0801741803
A,0.1249262247
A,0.1723431975
A,0.0967851675
A,0.212244898
A,0.3401194354
A,0.1475764961
A,0.1793621775
A,0.1313983134
A,0.1145610278
A,0.1488730724
A,0.2089463221
A,0.1840222576
A,0.1842664777
A,0.2233723781
A,0.3019983113
A,0.1276056338
A,0.0706265846
A,0.0887842
A,0.0975460123
A,0.1263957124
A,0.0897373541
A,0.1356205388
A,0.1250969243
A,0.1145057129
A,0.1002838221
A,0.0382241688
A,0.0393303752
A,0.059833795
A,0.0399372166
A,0.3809037529
A,0.1043147208
A,0.1101106252
A,0.1412808827
A,0.1040407855
A,0.0807248764
A,0.1032786885
A,0.0797902229
A,0.1326625675
A,0.1284891449
A,0.0689974531
A,0.1281871345
A,0.1356828194
A,0.0858339149
A,0.0965241898
A,0.0914147521
A,0.1056244042
A,0.0596770897
A,0.0812741313
A,0.0566072079
A,0.0718942075
A,0.1543010753
A,0.1526528777
A,0.1271906532
A,0.1463414634
A,0.1456030754
A,0.125738189
A,0.0516493874
A,0.1510804769
A,0.0696280628
A,0.1165467626
A,0.072579001
A,0.1000560015
A,0.0479802434
A,0.1208206687
A,0.1150121065
A,0.0746919918
A,0.2920403587
A,0.1357730619
A,0.196801968
A,0.0841893253
A,0.2034839204
A,0.1994688699
A,0.1279653285
A,0.1695745932
A,0.0797176309
A,0.1199596774
A,0.0802242074
A,0.0660003771
A,0.1667701221
A,0.1395489327
A,0.0532433446
A,0.0828687278
A,0.061627493
A,0.070701589
A,0.048523869
A,0.052967871
A,0.139604848
A,0.100038053
A,0.091565774
A,0.053233861
A,0.089689459
A,0.155816454
A,0.140150407
A,0.125538185
A,0.157016372
A,0.08749973
A,0.096126901
A,0.137373778
A,0.058679748
A,0.322145586
A,0.053504256
A,0.139956582
A,0.115502297
A,0.101173924
A,0.169077114
A,0.094344462
A,0.15650363
A,0.110985182
A,0.242390977
A,0.140401224
A,0.079884756
A,0.123067556
A,0.051823272
A,0.036100762
A,0.026903904
A,0.350171414
A,0.054311826
A,0.502628863
A,0.033201285
A,0.049564284
A,0.114934386
A,0.113398919
A,0.15402439
A,0.128405374
B,0.0383834281
B,0.0642730496
B,0.0934504792
B,0.1058410189
B,0.1004810262
B,0.0575133916
B,0.1182526433
B,0.0902714932
B,0.1323698096
B,0.1319970667
B,0.1761565836
B,0.0847900342
B,0.0865384615
B,0.1117890179
B,0.075633454
B,0.1137812653
B,0.1225944405
B,0.1645120406
B,0.0927704752
B,0.1068680536
B,0.0836606441
B,0.1403375687
B,0.0616507808
B,0.071598572
B,0.0495588998
B,0.109561753
B,0.0860791826
B,0.0658044021
B,0.0909267158
B,0.0472271914
B,0.1734220609
B,0.1136624569
B,0.1192220258
B,0.1417127072
B,0.1235898721
B,0.1306187203
B,0.0854651163
B,0.0854716633
B,0.093518157
B,0.1158080141
B,0.1151107595
B,0.1633103448
B,0.0796822957
B,0.0906220984
B,0.1022375841
B,0.0355716878
B,0.0588130775
B,0.0583294447
B,0.0155181045
B,0.062345461
B,0.0792201382
B,0.1022016222
B,0.0894788594
B,0.1650528169
B,0.0745810715
B,0.1649411765
B,0.1046102574
B,0.1217736598
B,0.0809107542
B,0.0943296237
B,0.0742424242
